brand_key,brand_code,brand_name,category_key,category_name
1,BRD000001,Samsung,1,Electronics
2,BRD000002,LG,1,Electronics
3,BRD000003,Sony,1,Electronics
4,BRD000004,Panasonic,1,Electronics
5,BRD000005,Sharp,1,Electronics
6,BRD000006,Dell,2,Computer
7,BRD000007,HP,2,Computer
8,BRD000008,Lenovo,2,Computer
9,BRD000009,ASUS,2,Computer
10,BRD000010,Acer,2,Computer
11,BRD000011,Apple,3,Smartphone
12,BRD000012,Samsung,3,Smartphone
13,BRD000013,Xiaomi,3,Smartphone
14,BRD000014,OPPO,3,Smartphone
15,BRD000015,vivo,3,Smartphone
16,BRD000016,Philips,4,Home Appliances
17,BRD000017,Electrolux,4,Home Appliances
18,BRD000018,Midea,4,Home Appliances
19,BRD000019,TCL,4,Home Appliances
20,BRD000020,IKEA,5,Furniture
21,BRD000021,Informa,5,Furniture
22,BRD000022,Olympic,5,Furniture
23,BRD000023,Tupperware,6,Kitchen
24,BRD000024,LocknLock,6,Kitchen
25,BRD000025,Maspion,6,Kitchen
26,BRD000026,Indofood,7,Food
27,BRD000027,Mayora,7,Food
28,BRD000028,GarudaFood,7,Food
29,BRD000029,Coca-Cola,8,Beverage
30,BRD000030,Pepsi,8,Beverage
31,BRD000031,Nestle,8,Beverage
32,BRD000032,Blackmores,9,Health
33,BRD000033,Entrasol,9,Health
34,BRD000034,Kalbe,9,Health
35,BRD000035,Wardah,10,Beauty
36,BRD000036,Make Over,10,Beauty
37,BRD000037,Emina,10,Beauty
38,BRD000038,L'Oreal,10,Beauty
39,BRD000039,Nike,11,Fashion Men
40,BRD000040,Adidas,11,Fashion Men
41,BRD000041,Uniqlo,11,Fashion Men
42,BRD000042,Zara,12,Fashion Women
43,BRD000043,H&M,12,Fashion Women
44,BRD000044,Uniqlo,12,Fashion Women
45,BRD000045,Carter's,13,Fashion Kids
46,BRD000046,Mothercare,13,Fashion Kids
47,BRD000047,Nike,14,Sports
48,BRD000048,Adidas,14,Sports
49,BRD000049,Puma,14,Sports
50,BRD000050,Eiger,15,Outdoor
51,BRD000051,Consina,15,Outdoor
52,BRD000052,The North Face,15,Outdoor
53,BRD000053,Gramedia,16,Books
54,BRD000054,Erlangga,16,Books
55,BRD000055,Faber Castell,17,Stationery
56,BRD000056,Joyko,17,Stationery
57,BRD000057,Bosch,18,Automotive
58,BRD000058,Shell,18,Automotive
59,BRD000059,Castrol,18,Automotive
60,BRD000060,Whiskas,19,Pet Supplies
61,BRD000061,Royal Canin,19,Pet Supplies
62,BRD000062,Pampers,20,Baby Products
63,BRD000063,MamyPoko,20,Baby Products
64,BRD000064,Cussons Baby,20,Baby Products
65,BRD000065,Razer,21,Gaming
66,BRD000066,Logitech,21,Gaming
67,BRD000067,SteelSeries,21,Gaming
68,BRD000068,Yamaha,22,Music
69,BRD000069,Roland,22,Music
70,BRD000070,Casio,22,Music
71,BRD000071,Anker,23,Accessories
72,BRD000072,Baseus,23,Accessories
73,BRD000073,UGREEN,23,Accessories
74,BRD000074,Bantex,24,Office
75,BRD000075,Deli,24,Office
76,BRD000076,LEGO,25,Toys
77,BRD000077,Mattel,25,Toys
78,BRD000078,Hasbro,25,Toys
