promotion_key,promotion_code,promotion_name,promotion_type,discount_percent,minimum_purchase,maximum_discount,start_date,end_date,is_active
1,PRO000001,Flash Deal 1,Member Exclusive,5,500000,100000,2026-05-13,2026-08-13,False
2,PRO000002,Big Sale 2,Flash Sale,30,50000,25000,2025-12-29,2026-07-19,False
3,PRO000003,Special Member 3,Cashback,15,50000,75000,2024-11-15,2025-01-03,True
4,PRO000004,Special Member 4,Buy 1 Get 1,5,500000,150000,2026-05-28,2026-06-14,True
5,PRO000005,Big Sale 5,Holiday,40,50000,100000,2024-11-23,2025-10-20,True
6,PRO000006,Super Weekend 6,Flash Sale,25,200000,150000,2026-01-09,2026-02-11,False
7,PRO000007,Mega Discount 7,Buy 1 Get 1,30,50000,75000,2026-03-12,2026-06-06,True
8,PRO000008,Special Member 8,Buy 1 Get 1,15,50000,10000,2026-01-01,2026-05-03,True
9,PRO000009,Super Weekend 9,Clearance,40,200000,150000,2026-07-05,2026-08-20,True
10,PRO000010,Year End Sale 10,Bundle,40,500000,10000,2026-02-04,2026-06-05,True
11,PRO000011,Happy Shopping 11,Member Exclusive,20,200000,75000,2026-04-01,2026-05-02,False
12,PRO000012,Happy Shopping 12,Member Exclusive,50,300000,75000,2025-09-02,2025-10-28,True
13,PRO000013,Super Weekend 13,Payday,15,0,150000,2026-02-14,2026-06-24,True
14,PRO000014,Super Weekend 14,Clearance,5,0,100000,2024-12-02,2024-12-13,True
15,PRO000015,Happy Shopping 15,Clearance,5,50000,25000,2025-02-26,2026-06-17,False
16,PRO000016,Happy Shopping 16,Payday,10,500000,50000,2024-11-15,2026-05-24,False
17,PRO000017,Special Member 17,Cashback,15,100000,10000,2024-08-01,2026-02-18,True
18,PRO000018,Mega Discount 18,Clearance,20,50000,100000,2024-11-09,2026-02-28,True
19,PRO000019,Special Member 19,Member Exclusive,50,100000,150000,2025-11-11,2026-02-27,True
20,PRO000020,Year End Sale 20,Percentage Discount,50,200000,10000,2025-05-14,2025-08-08,True
21,PRO000021,Holiday Deals 21,Holiday,50,0,75000,2026-07-04,2026-08-14,False
22,PRO000022,Happy Shopping 22,Payday,50,100000,10000,2025-12-29,2026-04-09,True
23,PRO000023,Crazy Price 23,Clearance,40,50000,150000,2026-01-11,2026-07-02,False
24,PRO000024,Year End Sale 24,Buy 1 Get 1,40,0,75000,2025-07-23,2025-09-17,False
25,PRO000025,Happy Shopping 25,Buy 1 Get 1,25,500000,10000,2025-01-25,2025-11-10,True
26,PRO000026,Year End Sale 26,Holiday,10,200000,150000,2024-10-30,2026-05-14,True
27,PRO000027,Flash Deal 27,Buy 1 Get 1,50,300000,100000,2024-10-12,2025-08-19,True
28,PRO000028,Year End Sale 28,Holiday,40,50000,50000,2025-11-09,2026-01-14,True
29,PRO000029,Payday Sale 29,Holiday,25,100000,100000,2026-04-09,2026-05-08,True
30,PRO000030,Year End Sale 30,Payday,10,500000,10000,2025-07-09,2025-12-26,True
31,PRO000031,Special Member 31,Buy 1 Get 1,40,100000,100000,2025-12-14,2026-08-11,False
32,PRO000032,Special Member 32,Member Exclusive,15,200000,10000,2025-05-31,2026-01-29,False
33,PRO000033,Happy Shopping 33,Clearance,10,300000,10000,2025-11-20,2026-04-23,True
34,PRO000034,Mega Discount 34,Clearance,15,200000,75000,2024-12-01,2025-05-22,True
35,PRO000035,Mega Discount 35,Cashback,25,200000,150000,2026-06-06,2026-07-03,False
36,PRO000036,Happy Shopping 36,Member Exclusive,50,500000,150000,2024-10-14,2026-04-27,True
37,PRO000037,Crazy Price 37,Holiday,15,200000,75000,2026-06-09,2026-08-04,False
38,PRO000038,Flash Deal 38,Holiday,10,100000,100000,2026-03-25,2026-05-17,True
39,PRO000039,Big Sale 39,Holiday,10,200000,25000,2025-05-05,2026-03-20,True
40,PRO000040,Year End Sale 40,Payday,5,0,10000,2025-01-09,2025-09-09,True
41,PRO000041,Year End Sale 41,Holiday,15,500000,10000,2025-12-05,2026-06-06,False
42,PRO000042,Happy Shopping 42,Holiday,50,50000,25000,2026-04-10,2026-07-28,True
43,PRO000043,Payday Sale 43,Clearance,30,500000,100000,2024-09-28,2025-11-17,False
44,PRO000044,Crazy Price 44,Percentage Discount,5,500000,50000,2025-08-29,2025-11-03,True
45,PRO000045,Special Member 45,Member Exclusive,30,0,10000,2025-07-14,2026-02-24,True
46,PRO000046,Crazy Price 46,Percentage Discount,10,0,10000,2026-04-10,2026-08-15,False
47,PRO000047,Super Weekend 47,Payday,25,200000,150000,2026-04-20,2026-08-17,True
48,PRO000048,Holiday Deals 48,Weekend Promo,25,0,50000,2024-12-22,2025-11-30,False
49,PRO000049,Payday Sale 49,Cashback,40,500000,75000,2026-01-08,2026-06-21,False
50,PRO000050,Special Member 50,Flash Sale,30,100000,10000,2024-11-14,2026-03-14,False
