supplier_key,supplier_code,supplier_name,contact_person,email,phone,city,province,address,is_active
1,SUP000001,CV PD Permata (Persero) Tbk Mandiri,Farhunnisa Pertiwi,whutagalung@perum.mil,(0993) 847 2278,Jakarta,DKI Jakarta,"Gang Surapati No. 8, Solok, NB 12323",True
2,SUP000002,CV Perum Usamah Nainggolan (Persero) Tbk Mandiri,Gangsar Prabowo,kwinarno@ud.net,+62 (42) 229 9762,Denpasar,Bali,"Jl. Kutai No. 074, Magelang, Sumatera Utara 65485",True
3,SUP000003,CV PT Setiawan Januar Mandiri,Wardaya Hasanah,lanangwinarno@pd.co.id,+62 (26) 277-2669,Yogyakarta,DI Yogyakarta,"Jalan Indragiri No. 15, Tanjungbalai, Kepulauan Bangka Belitung 97208",True
4,SUP000004,PT Perum Siregar Nusantara,Sidiq Hartati,puji72@pt.sch.id,+62 (061) 113 5189,Semarang,Jawa Tengah,"Jalan Veteran No. 431, Pontianak, Bali 39729",True
5,SUP000005,PT CV Haryanti Susanti Wholesale,Ajimin Sinaga,bakiadihabibi@pd.ponpes.id,0878087884,Jakarta,DKI Jakarta,"Jalan Jayawijaya No. 8, Pariaman, Papua 33552",True
6,SUP000006,PT Perum Prasetya Retail,"Opan Saptono, S.Pd",haryantieva@pt.int,089 378 1588,Bekasi,Jawa Barat,"Jl. Ronggowarsito No. 801, Payakumbuh, BE 53335",True
7,SUP000007,PT PT Halim Tbk Retail,"Maryanto Mangunsong, M.M.",iiswahyudi@pt.int,+62 (084) 571-1706,Surabaya,Jawa Timur,"Jl. H.J Maemunah No. 31, Tidore Kepulauan, Sulawesi Utara 52993",True
8,SUP000008,PT UD Astuti Nasyiah Nusantara,Hani Puspasari,mahendrawidya@cv.co.id,(073) 370 3680,Medan,Sumatera Utara,"Jalan Gegerkalong Hilir No. 371, Medan, Sulawesi Barat 43597",True
9,SUP000009,PT PT Maulana Tbk Global,"drg. Hadi Aryani, S.H.",wrahimah@cv.biz.id,0821604037,Bekasi,Jawa Barat,"Gg. Wonoayu No. 951, Sukabumi, Papua Barat 48995",True
10,SUP000010,PT Perum Wulandari Trading,"dr. Keisha Budiyanto, S.Pd",putri48@pd.gov,081 654 5040,Bekasi,Jawa Barat,"Gg. Veteran No. 776, Madiun, JI 67870",True
11,SUP000011,CV UD Suwarno Siregar Distribution,Gandi Uyainah,umi01@cv.go.id,+62 (48) 414-7001,Denpasar,Bali,"Jalan Indragiri No. 2, Tanjungbalai, YO 09828",True
12,SUP000012,CV Perum Wijaya Setiawan Tbk Supply,"Sutan Kala Laksmiwati, M.Kom.",wahyunieka@ud.gov,+62 (99) 172 8613,Makassar,Sulawesi Selatan,"Jalan K.H. Wahid Hasyim No. 31, Kota Administrasi Jakarta Utara, Kalimantan Selatan 67790",True
13,SUP000013,CV UD Wastuti Global,KH. Lamar Suryono,psaefullah@perum.biz.id,+62 (703) 817 7297,Semarang,Jawa Tengah,"Gang Sadang Serang No. 237, Balikpapan, Jawa Barat 18263",True
14,SUP000014,CV UD Narpati Puspita (Persero) Tbk Distribution,Dr. Nrima Prakasa,damutarihoran@ud.mil,(037) 723-5584,Makassar,Sulawesi Selatan,"Jalan Rawamangun No. 166, Kupang, SS 90263",True
15,SUP000015,PT UD Hutapea Tbk Distribution,Novi Nainggolan,pardisimbolon@pd.my.id,+62 (178) 408 2709,Medan,Sumatera Utara,"Gang S. Parman No. 28, Gorontalo, Nusa Tenggara Barat 67576",True
16,SUP000016,CV UD Sirait Maheswara (Persero) Tbk Retail,Devi Novitasari,taufiksudiati@perum.or.id,+62 (443) 575-7035,Makassar,Sulawesi Selatan,"Jalan BKR No. 8, Meulaboh, KB 66954",True
17,SUP000017,CV UD Prastuti Santoso Nusantara,"Drs. Puput Nuraini, S.Pd",daryani05@perum.mil.id,+62-081-787-7516,Bogor,Jawa Barat,"Jl. Dipenogoro No. 838, Sabang, BT 31798",True
18,SUP000018,CV PT Astuti Winarsih Sejahtera,Ophelia Riyanti,wardaya05@perum.biz.id,+62 (719) 347 5361,Yogyakarta,DI Yogyakarta,"Jl. M.H Thamrin No. 833, Pekanbaru, Jambi 26233",True
19,SUP000019,CV UD Dongoran Nusantara,"dr. Dinda Sitorus, M.TI.",galurmayasari@perum.gov,(0235) 624-4599,Yogyakarta,DI Yogyakarta,"Gang Peta No. 2, Cimahi, Kepulauan Bangka Belitung 51964",True
20,SUP000020,PT UD Nashiruddin Laksita Wholesale,dr. Violet Uyainah,jasmin61@ud.mil.id,+62 (0313) 678-5566,Yogyakarta,DI Yogyakarta,"Jl. Wonoayu No. 611, Solok, Maluku 43510",True
21,SUP000021,PT PT Mandasari Pertiwi (Persero) Tbk Retail,Dimaz Yuniar,gantar63@pt.ac.id,(083) 655-7189,Surabaya,Jawa Timur,"Jalan Cikutra Timur No. 99, Bandung, Papua 54865",True
22,SUP000022,CV UD Widiastuti Yuniar (Persero) Tbk Nusantara,drg. Hafshah Lestari,kuswoyobahuwirya@pd.go.id,(009) 160 5620,Jakarta,DKI Jakarta,"Jl. M.T Haryono No. 05, Kota Administrasi Jakarta Pusat, Sulawesi Tenggara 75533",True
23,SUP000023,PT UD Manullang Global,Bagas Waluyo,tambakawaya@cv.gov,+62 (0979) 919 6568,Semarang,Jawa Tengah,"Jl. Ronggowarsito No. 04, Probolinggo, KR 71946",True
24,SUP000024,PT PD Prasasta Hidayat Trading,Wulan Sinaga,situmorangami@pt.co.id,+62-914-090-8948,Bekasi,Jawa Barat,"Jalan Gegerkalong Hilir No. 14, Binjai, NT 56249",True
25,SUP000025,PT PD Wacana Salahudin Trading,Cemeti Mandasari,zeldasitorus@ud.biz.id,(073) 336 5252,Makassar,Sulawesi Selatan,"Jalan Peta No. 4, Tangerang Selatan, Kalimantan Tengah 46563",True
26,SUP000026,PT PD Habibi Nashiruddin Tbk Mandiri,Warji Marpaung,damanikvictoria@cv.or.id,+62 (07) 137 2806,Bandung,Jawa Barat,"Jalan Erlangga No. 361, Kota Administrasi Jakarta Pusat, Kepulauan Riau 20669",True
27,SUP000027,PT PD Jailani Kuswoyo Tbk Distribution,Ciaobella Wasita,hakimartanto@pd.desa.id,0843404081,Semarang,Jawa Tengah,"Jalan Joyoboyo No. 563, Lubuklinggau, Bali 86769",True
28,SUP000028,CV Perum Padmasari Prabowo Trading,"Dr. Paris Susanti, S.Kom",tambaagus@perum.gov,+62 (102) 363-0817,Bogor,Jawa Barat,"Jalan Kutisari Selatan No. 562, Padang, Kepulauan Bangka Belitung 24452",True
29,SUP000029,CV Perum Farida Nusantara,Muni Nababan,waluyokamila@pt.ponpes.id,+62 (59) 175 3423,Bekasi,Jawa Barat,"Jl. Kendalsari No. 57, Kotamobagu, PA 54661",True
30,SUP000030,PT PT Pertiwi Mahendra (Persero) Tbk Retail,"Adikara Saputra, S.T.",zamirawaskita@perum.edu,+62 (072) 995-3895,Denpasar,Bali,"Jalan Kiaracondong No. 688, Surabaya, ST 45816",True
31,SUP000031,PT PT Riyanti Retail,Danu Natsir,lala19@cv.web.id,(083) 388-3746,Bogor,Jawa Barat,"Jalan Pasirkoja No. 178, Solok, Sumatera Barat 92799",True
32,SUP000032,PT PT Marpaung Hidayat Tbk Retail,"Hj. Ilsa Simbolon, S.H.",muhammadnarpati@pd.org,+62 (0632) 894 0865,Makassar,Sulawesi Selatan,"Gang Setiabudhi No. 0, Palu, Nusa Tenggara Barat 78510",True
33,SUP000033,PT PD Narpati Wholesale,Sabrina Wulandari,ani02@pd.id,+62 (23) 043 5429,Denpasar,Bali,"Jalan Moch. Toha No. 9, Pasuruan, YO 41073",True
34,SUP000034,PT CV Pangestu Tbk Indonesia,drg. Baktiadi Hardiansyah,bmulyani@perum.com,+62 (0021) 844 4432,Bandung,Jawa Barat,"Gg. Pacuan Kuda No. 033, Padang Sidempuan, Sumatera Barat 84399",True
35,SUP000035,PT Perum Zulaika Supply,Rini Nashiruddin,nyanamaryati@pt.co.id,(0575) 785 6155,Bekasi,Jawa Barat,"Gang Pelajar Pejuang No. 346, Bandung, JT 55727",True
36,SUP000036,PT Perum Adriansyah Natsir Wholesale,"H. Okta Iswahyudi, M.Farm",uwaisnovi@pd.biz.id,(082) 950 4828,Bekasi,Jawa Barat,"Gang Kiaracondong No. 558, Surabaya, Papua 60001",True
37,SUP000037,PT UD Tarihoran Pertiwi Supply,Ir. Elisa Lazuardi,januarprabawa@pd.sch.id,+62-80-713-1224,Bogor,Jawa Barat,"Jalan R.E Martadinata No. 015, Cimahi, LA 55237",True
38,SUP000038,PT PT Hutagalung Mandiri,Ir. Queen Sihotang,hartaka53@pd.mil,(000) 463-9964,Yogyakarta,DI Yogyakarta,"Jalan Kapten Muslihat No. 5, Binjai, Sumatera Selatan 15097",True
39,SUP000039,CV UD Prayoga Nasyiah Trading,Karta Januar,kezia42@pd.id,+62 (87) 800 4294,Semarang,Jawa Tengah,"Jalan Rungkut Industri No. 534, Tangerang, Kalimantan Utara 93249",True
40,SUP000040,CV UD Tamba Tbk Nusantara,Jessica Mansur,paimanlaksita@pt.sch.id,+62-470-019-9523,Surabaya,Jawa Timur,"Jl. Kiaracondong No. 73, Padang, KS 10298",True
41,SUP000041,PT UD Hastuti (Persero) Tbk Nusantara,"KH. Wage Saragih, S.E.I",hani62@perum.desa.id,(034) 237-4071,Semarang,Jawa Tengah,"Jalan Gardujati No. 63, Bandar Lampung, SS 71901",True
42,SUP000042,PT PT Wijayanti Wholesale,Bala Latupono,tira29@pd.co.id,+62 (58) 931-1487,Jakarta,DKI Jakarta,"Gang Ir. H. Djuanda No. 6, Batam, KT 07540",True
43,SUP000043,PT PD Pangestu Fujiati (Persero) Tbk Mandiri,"Bella Prasetya, M.Kom.",ayu80@ud.net.id,+62 (01) 392 1444,Bekasi,Jawa Barat,"Jl. Indragiri No. 107, Bekasi, KI 81999",True
44,SUP000044,PT CV Sihotang Sudiati Tbk Wholesale,"H. Viman Riyanti, S.Gz",hmarbun@perum.mil,+62 (11) 171 6055,Medan,Sumatera Utara,"Jl. Medokan Ayu No. 53, Mojokerto, KT 24971",True
45,SUP000045,CV PD Purnawati (Persero) Tbk Mandiri,Wani Uwais,saputrahendri@pd.com,+62-0022-812-8545,Makassar,Sulawesi Selatan,"Gg. S. Parman No. 11, Kendari, KR 22333",True
46,SUP000046,PT PT Hastuti (Persero) Tbk Global,"Jaya Firgantoro, S.Psi",hutapeasiti@pd.co.id,+62 (39) 944 4561,Surabaya,Jawa Timur,"Jl. Laswi No. 5, Kediri, KU 11676",True
47,SUP000047,CV CV Maryadi (Persero) Tbk Distribution,Imam Nababan,cagak87@cv.com,+62-732-601-3507,Denpasar,Bali,"Gg. Laswi No. 837, Sabang, Riau 67812",True
48,SUP000048,PT Perum Puspasari Retail,"Ayu Sirait, M.Pd",lsiregar@cv.go.id,+62-126-755-5913,Semarang,Jawa Tengah,"Jl. Jamika No. 17, Tangerang, Kalimantan Barat 48570",True
49,SUP000049,PT CV Tamba Purwanti Supply,"Sutan Cagak Prakasa, S.E.I",pratamamahesa@ud.biz.id,+62-0028-992-4228,Medan,Sumatera Utara,"Jalan M.H Thamrin No. 476, Pariaman, JK 29862",True
50,SUP000050,CV UD Saptono Global,"Jamalia Widodo, S.IP",bprasasta@pd.mil,+62 (0275) 669 9718,Bogor,Jawa Barat,"Jalan Medokan Ayu No. 8, Ambon, KS 63743",True
51,SUP000051,CV Perum Wahyuni (Persero) Tbk Global,Lasmono Wibisono,jpertiwi@pt.biz.id,+62 (80) 067 4416,Medan,Sumatera Utara,"Jalan Cikutra Timur No. 3, Pontianak, Kepulauan Bangka Belitung 18893",True
52,SUP000052,PT UD Wacana Adriansyah (Persero) Tbk Supply,"Hilda Winarno, M.Kom.",glestari@ud.web.id,(0760) 728-6046,Bekasi,Jawa Barat,"Jalan Ronggowarsito No. 228, Payakumbuh, Gorontalo 37502",True
53,SUP000053,PT UD Suryono Fujiati Global,Kania Winarno,cayadidongoran@perum.or.id,+62 (08) 403-3982,Bogor,Jawa Barat,"Gang PHH. Mustofa No. 6, Magelang, BT 57997",True
54,SUP000054,CV PD Hasanah Firgantoro (Persero) Tbk Distribution,Michelle Laksita,jzulkarnain@perum.desa.id,(073) 485-0793,Bekasi,Jawa Barat,"Jl. S. Parman No. 268, Surabaya, Nusa Tenggara Barat 76049",True
55,SUP000055,PT Perum Rahmawati Mahendra Supply,Yance Halim,harsantoutama@ud.edu,+62-909-799-7632,Yogyakarta,DI Yogyakarta,"Jl. Cihampelas No. 9, Magelang, SB 53718",True
56,SUP000056,PT CV Pangestu Nusantara,Hj. Cindy Pratiwi,saadat33@pt.mil.id,+62 (43) 455-1489,Yogyakarta,DI Yogyakarta,"Gang Indragiri No. 82, Banjar, LA 53085",True
57,SUP000057,PT PT Halimah Tbk Wholesale,Prakosa Ramadan,jasmanilaksita@pt.net.id,(027) 058-7289,Medan,Sumatera Utara,"Gang Ronggowarsito No. 94, Ambon, SG 26577",True
58,SUP000058,CV Perum Widodo Riyanti Tbk Retail,KH. Karsana Nasyiah,pgunarto@cv.ponpes.id,+62 (073) 091-0542,Bekasi,Jawa Barat,"Gang Indragiri No. 059, Medan, SG 23528",True
59,SUP000059,PT PT Prakasa Yuniar Indonesia,Oni Sitorus,bsafitri@ud.or.id,0818386717,Bogor,Jawa Barat,"Gg. Rumah Sakit No. 420, Tidore Kepulauan, Sulawesi Selatan 33892",True
60,SUP000060,CV PT Yuliarti (Persero) Tbk Indonesia,"H. Oman Prabowo, M.Pd",padmasarikawaya@perum.or.id,+62 (294) 295-9475,Medan,Sumatera Utara,"Gg. Waringin No. 387, Metro, SB 42731",True
61,SUP000061,PT CV Pranowo Nusantara,Prabowo Purwanti,siti69@perum.mil,+62 (015) 004-0948,Semarang,Jawa Tengah,"Gg. Otto Iskandardinata No. 683, Pekalongan, MA 28660",True
62,SUP000062,PT CV Sihombing Usada Tbk Nusantara,Tami Prasetya,santosonyana@cv.net.id,+62-0356-485-2252,Surabaya,Jawa Timur,"Gg. Gardujati No. 4, Subulussalam, JA 77843",True
