inventory_key,inventory_code,purchase_key,inventory_date_key,product_key,store_key,received_quantity,accepted_quantity,damaged_quantity,inventory_status,batch_number,warehouse_location,expiry_date
1,INV000001,1,20270105,766,24,69,69,0,Received,BAT00000001,B-16-02,
2,INV000002,3,20260813,937,23,21,21,0,Received,BAT00000002,D-17-05,
3,INV000003,4,20250525,610,20,162,154,8,Partial,BAT00000003,E-07-03,
4,INV000004,5,20241223,288,12,123,123,0,Received,BAT00000004,B-10-05,
5,INV000005,6,20250730,315,6,81,81,0,Received,BAT00000005,E-03-03,
6,INV000006,7,20260409,588,19,104,104,0,Received,BAT00000006,E-08-03,
7,INV000007,8,20251226,95,17,196,196,0,Received,BAT00000007,C-19-04,2027-12-26
8,INV000008,9,20260721,605,4,137,137,0,Received,BAT00000008,A-13-01,
9,INV000009,10,20251007,306,19,345,345,0,Received,BAT00000009,B-03-04,
10,INV000010,11,20240728,895,8,77,77,0,Received,BAT00000010,C-01-01,
11,INV000011,12,20230827,703,14,10,10,0,Received,BAT00000011,A-06-03,
12,INV000012,13,20230323,433,9,9,9,0,Received,BAT00000012,C-11-04,
13,INV000013,14,20260807,456,9,20,20,0,Received,BAT00000013,A-04-04,
14,INV000014,15,20250727,887,11,24,24,0,Received,BAT00000014,C-04-03,
15,INV000015,16,20260808,880,15,277,0,277,Rejected,BAT00000015,D-16-04,
16,INV000016,17,20231015,82,14,38,38,0,Received,BAT00000016,E-04-01,
17,INV000017,18,20260618,898,24,9,9,0,Received,BAT00000017,C-20-04,
18,INV000018,19,20240324,174,17,27,27,0,Received,BAT00000018,E-20-02,
19,INV000019,20,20250506,279,10,78,78,0,Received,BAT00000019,A-17-03,
20,INV000020,21,20250917,327,7,93,93,0,Received,BAT00000020,B-15-06,
21,INV000021,23,20240213,238,17,137,137,0,Received,BAT00000021,C-18-05,
22,INV000022,24,20240505,164,5,29,29,0,Received,BAT00000022,D-16-02,
23,INV000023,25,20241228,384,6,62,62,0,Received,BAT00000023,A-05-02,
24,INV000024,27,20261209,282,19,21,21,0,Received,BAT00000024,C-14-03,
25,INV000025,28,20230224,203,12,216,216,0,Received,BAT00000025,C-17-01,
26,INV000026,29,20250717,583,21,141,141,0,Received,BAT00000026,E-19-02,
27,INV000027,30,20240804,483,1,112,112,0,Received,BAT00000027,A-16-01,2026-08-04
28,INV000028,31,20240403,369,7,464,464,0,Received,BAT00000028,C-14-02,
29,INV000029,32,20231128,973,21,27,27,0,Received,BAT00000029,B-09-01,2025-05-21
30,INV000030,33,20230416,434,15,18,18,0,Received,BAT00000030,D-10-02,
31,INV000031,35,20250724,823,21,100,100,0,Received,BAT00000031,B-17-06,
32,INV000032,36,20221129,658,20,155,155,0,Received,BAT00000032,B-09-01,2024-11-28
33,INV000033,37,20251030,98,1,26,26,0,Received,BAT00000033,A-04-03,
34,INV000034,38,20261013,202,2,137,137,0,Received,BAT00000034,A-09-06,2028-10-12
35,INV000035,39,20261205,307,15,71,71,0,Received,BAT00000035,C-08-03,
36,INV000036,40,20230824,581,4,68,68,0,Received,BAT00000036,C-13-05,
37,INV000037,41,20230922,96,18,47,47,0,Received,BAT00000037,E-03-05,
38,INV000038,42,20240828,434,1,11,11,0,Received,BAT00000038,C-18-06,
39,INV000039,43,20260927,213,9,161,161,0,Received,BAT00000039,D-07-02,2028-09-26
40,INV000040,44,20260116,45,14,22,22,0,Received,BAT00000040,D-09-02,2027-07-10
41,INV000041,46,20230609,28,3,366,366,0,Received,BAT00000041,D-08-01,2024-06-08
42,INV000042,47,20220730,228,3,92,92,0,Received,BAT00000042,A-15-01,
43,INV000043,48,20230713,694,20,54,54,0,Received,BAT00000043,C-16-06,
44,INV000044,49,20221111,919,17,131,131,0,Received,BAT00000044,A-18-03,
45,INV000045,50,20241005,74,7,6,6,0,Received,BAT00000045,C-06-05,
