purchase_key,purchase_code,purchase_date_key,supplier_key,employee_key,store_key,payment_key,product_key,quantity,unit_cost,subtotal,discount_percent,discount_amount,tax_percent,tax_amount,total_amount,purchase_status,supplier_invoice_no,expected_delivery_date
1,PUR000001,20261226,101,79,24,14,766,69,2875222,198390318,14,27774644,11,18767724,189383398,Completed,INV-SUP-202612-000001,2027-01-05
2,PUR000002,20261016,88,247,14,9,492,13,2556338,33232394,4,1329295,11,3509340,35412439,Cancelled,INV-SUP-202610-000002,2026-10-23
3,PUR000003,20260805,113,58,23,12,937,21,7290654,153103734,4,6124149,11,16167754,163147339,Completed,INV-SUP-202608-000003,2026-08-13
4,PUR000004,20250522,21,251,20,12,610,162,1017044,164761128,15,24714169,11,15405165,155452124,Completed,INV-SUP-202505-000004,2025-05-25
5,PUR000005,20241216,146,41,12,11,288,123,29403,3616569,13,470153,11,346105,3492521,Completed,INV-SUP-202412-000005,2024-12-23
6,PUR000006,20250722,76,65,6,18,315,81,1468400,118940400,12,14272848,11,11513430,116180982,Completed,INV-SUP-202507-000006,2025-07-30
7,PUR000007,20260327,147,109,19,1,588,104,492274,51196496,11,5631614,11,5012137,50577019,Completed,INV-SUP-202603-000007,2026-04-09
8,PUR000008,20251213,22,258,17,6,95,196,30968,6069728,9,546275,11,607579,6131032,Completed,INV-SUP-202512-000008,2025-12-26
9,PUR000009,20260711,104,245,4,5,605,137,527900,72322300,1,723223,11,7875898,79474975,Completed,INV-SUP-202607-000009,2026-07-21
10,PUR000010,20250927,1,9,19,3,306,345,1350786,466021170,14,65242963,11,44085602,444863809,Completed,INV-SUP-202509-000010,2025-10-07
11,PUR000011,20240715,36,231,8,10,895,77,859460,66178420,15,9926763,11,6187682,62439339,Completed,INV-SUP-202407-000011,2024-07-28
12,PUR000012,20230813,19,261,14,2,703,10,3574600,35746000,2,714920,11,3853418,38884498,Completed,INV-SUP-202308-000012,2023-08-27
13,PUR000013,20230314,86,180,9,7,433,9,1784286,16058574,6,963514,11,1660456,16755516,Completed,INV-SUP-202303-000013,2023-03-23
14,PUR000014,20260730,129,263,9,18,456,20,3307600,66152000,7,4630640,11,6767349,68288709,Completed,INV-SUP-202607-000014,2026-08-07
15,PUR000015,20250725,82,119,11,13,887,24,2248785,53970840,6,3238250,11,5580584,56313174,Completed,INV-SUP-202507-000015,2025-07-27
16,PUR000016,20260802,72,46,15,9,880,277,1535202,425250954,2,8505019,11,45842052,462587987,Completed,INV-SUP-202608-000016,2026-08-08
17,PUR000017,20231008,22,106,14,17,82,38,10912848,414688224,3,12440646,11,44247233,446494811,Completed,INV-SUP-202310-000017,2023-10-15
18,PUR000018,20260612,9,149,24,12,898,9,5462721,49164489,13,6391383,11,4705041,47478147,Completed,INV-SUP-202606-000018,2026-06-18
19,PUR000019,20240321,85,8,17,13,174,27,2758900,74490300,2,1489806,11,8030054,81030548,Completed,INV-SUP-202403-000019,2024-03-24
20,PUR000020,20250504,83,103,10,13,279,78,636216,49624848,7,3473739,11,5076621,51227730,Completed,INV-SUP-202505-000020,2025-05-06
21,PUR000021,20250914,79,91,7,7,327,93,694229,64563297,3,1936898,11,6888903,69515302,Completed,INV-SUP-202509-000021,2025-09-17
22,PUR000022,20251231,69,145,10,13,495,26,769428,20005128,9,1800461,11,2002513,20207180,Pending,INV-SUP-202512-000022,2026-01-02
23,PUR000023,20240130,73,124,17,1,238,137,1322900,181237300,2,3624746,11,19537380,197149934,Completed,INV-SUP-202401-000023,2024-02-13
24,PUR000024,20240501,97,261,5,6,164,29,8650558,250866182,14,35121265,11,23731940,239476857,Completed,INV-SUP-202405-000024,2024-05-05
25,PUR000025,20241220,101,78,6,14,384,62,82518,5116116,14,716256,0,0,4399860,Completed,INV-SUP-202412-000025,2024-12-28
26,PUR000026,20251005,122,37,25,16,658,203,13034,2645902,7,185213,11,270675,2731364,Cancelled,INV-SUP-202510-000026,2025-10-10
27,PUR000027,20261130,51,221,19,18,282,21,14762230,310006830,7,21700478,11,31713698,320020050,Completed,INV-SUP-202611-000027,2026-12-09
28,PUR000028,20230214,130,191,12,7,203,216,395658,85462128,6,5127727,11,8836784,89171185,Completed,INV-SUP-202302-000028,2023-02-24
29,PUR000029,20250707,72,178,21,4,583,141,24453,3447873,5,172393,11,360302,3635782,Completed,INV-SUP-202507-000029,2025-07-17
30,PUR000030,20240726,49,266,1,8,483,112,127988,14334656,15,2150198,11,1340290,13524748,Completed,INV-SUP-202407-000030,2024-08-04
31,PUR000031,20240324,31,94,7,7,369,464,451452,209473728,7,14663160,11,21429162,216239730,Completed,INV-SUP-202403-000031,2024-04-03
32,PUR000032,20231120,61,128,21,9,973,27,714600,19294200,2,385884,11,2079914,20988230,Completed,INV-SUP-202311-000032,2023-11-28
33,PUR000033,20230409,73,143,15,12,434,18,4132819,74390742,3,2231722,11,7937492,80096512,Completed,INV-SUP-202304-000033,2023-04-16
34,PUR000034,20260303,17,254,14,12,195,423,2251752,952491096,8,76199287,11,96392098,972683907,Cancelled,INV-SUP-202603-000034,2026-03-12
35,PUR000035,20250716,150,50,21,17,823,100,221238,22123800,2,442476,11,2384945,24066269,Completed,INV-SUP-202507-000035,2025-07-24
36,PUR000036,20221120,84,124,20,12,658,155,13433,2082115,9,187390,11,208419,2103144,Completed,INV-SUP-202211-000036,2022-11-29
37,PUR000037,20251024,62,13,1,16,98,26,435714,11328564,6,679713,11,1171373,11820224,Completed,INV-SUP-202510-000037,2025-10-30
38,PUR000038,20260930,54,181,2,5,202,137,495533,67888021,7,4752161,11,6944944,70080804,Completed,INV-SUP-202609-000038,2026-10-13
39,PUR000039,20261130,49,284,15,8,307,71,1477575,104907825,9,9441704,11,10501273,105967394,Completed,INV-SUP-202611-000039,2026-12-05
40,PUR000040,20230818,63,264,4,13,581,68,747800,50850400,2,1017008,11,5481673,55315065,Completed,INV-SUP-202308-000040,2023-08-24
41,PUR000041,20230917,141,215,18,9,96,47,10030815,471448305,3,14143449,11,50303534,507608390,Completed,INV-SUP-202309-000041,2023-09-22
42,PUR000042,20240823,105,157,1,3,434,11,4132819,45461009,0,0,11,5000710,50461719,Completed,INV-SUP-202408-000042,2024-08-28
43,PUR000043,20260918,95,67,9,18,213,161,12648,2036328,1,20363,11,221756,2237721,Completed,INV-SUP-202609-000043,2026-09-27
44,PUR000044,20260105,8,79,14,1,45,22,479457,10548054,15,1582208,11,986243,9952089,Completed,INV-SUP-202601-000044,2026-01-16
45,PUR000045,20251015,128,158,18,5,833,53,69185,3666805,11,403348,11,358980,3622437,Pending,INV-SUP-202510-000045,2025-10-27
46,PUR000046,20230602,16,4,3,1,28,366,49600,18153600,7,1270752,0,0,16882848,Completed,INV-SUP-202306-000046,2023-06-09
47,PUR000047,20220717,42,44,3,10,228,92,707712,65109504,2,1302190,11,7018804,70826118,Completed,INV-SUP-202207-000047,2022-07-30
48,PUR000048,20230703,44,236,20,16,694,54,2897922,156487788,15,23473168,11,14631608,147646228,Completed,INV-SUP-202307-000048,2023-07-13
49,PUR000049,20221105,145,154,17,11,919,131,1726500,226171500,14,31664010,11,21395823,215903313,Completed,INV-SUP-202211-000049,2022-11-11
50,PUR000050,20240924,48,37,7,8,74,6,2494198,14965188,4,598607,11,1580323,15946904,Completed,INV-SUP-202409-000050,2024-10-05
51,PUR000051,20260804,110,92,4,10,99,296,324870,96161520,15,14424228,11,8991102,90728394,Completed,INV-SUP-202608-000051,2026-08-15
52,PUR000052,20231213,126,86,9,7,36,150,56430,8464500,14,1185030,11,800741,8080211,Completed,INV-SUP-202312-000052,2023-12-20
53,PUR000053,20220712,33,29,3,17,647,55,945744,52015920,8,4161273,11,5264011,53118658,Completed,INV-SUP-202207-000053,2022-07-19
54,PUR000054,20260722,63,275,7,18,167,352,34239,12052128,4,482085,11,1272704,12842747,Completed,INV-SUP-202607-000054,2026-07-25
55,PUR000055,20241219,109,128,10,6,883,68,3154326,214494168,13,27884241,11,20527091,207137018,Completed,INV-SUP-202412-000055,2025-01-01
56,PUR000056,20240216,5,291,7,17,107,103,1708146,175939038,7,12315732,11,17998563,181621869,Completed,INV-SUP-202402-000056,2024-03-01
57,PUR000057,20240214,32,233,15,7,872,124,845064,104787936,7,7335155,11,10719805,108172586,Completed,INV-SUP-202402-000057,2024-02-18
58,PUR000058,20240529,29,101,14,16,793,27,4514700,121896900,11,13408659,11,11933706,120421947,Completed,INV-SUP-202405-000058,2024-06-05
59,PUR000059,20230818,9,151,7,9,527,15,18162738,272441070,4,10897642,11,28769777,290313205,Completed,INV-SUP-202308-000059,2023-08-28
60,PUR000060,20240725,29,14,8,14,155,245,31066,7611170,0,0,11,837228,8448398,Completed,INV-SUP-202407-000060,2024-07-28
61,PUR000061,20250919,36,5,6,15,565,88,480984,42326592,0,0,11,4655925,46982517,Completed,INV-SUP-202509-000061,2025-09-28
62,PUR000062,20220618,115,105,1,4,151,31,1118777,34682087,9,3121387,11,3471677,35032377,Completed,INV-SUP-202206-000062,2022-06-21
