return_key,return_code,sales_key,sales_detail_key,product_key,stock_key,return_date_key,return_quantity,unit_price,gross_return,discount_amount,tax_amount,refund_amount,cost_price,return_reason,refund_method,return_status
1,RET000001,19637,52086,659,10807,20220401,1,3611100,3611100,0,397221,4008321,2778500,Customer Changed Mind,E-Wallet,Completed
2,RET000002,24730,65637,41,667,20221221,3,1842100,5526300,0,607893,6134193,1182500,Customer Changed Mind,Voucher,Completed
3,RET000003,11604,30761,501,8188,20240515,2,92500,185000,0,0,185000,79500,Wrong Item Sent,E-Wallet,Pending
4,RET000004,12942,34376,975,15956,20220608,2,115300,230600,0,25366,255966,81600,Defective Product,E-Wallet,Completed
5,RET000005,14606,38806,700,11457,20260511,3,13000,39000,0,0,39000,11100,Damaged Product,Cash,Completed
6,RET000006,14606,38808,873,14329,20260511,9,86800,781200,0,0,781200,76700,Incorrect Size,Store Credit,Completed
7,RET000007,14606,38811,220,3602,20260511,3,471500,1414500,0,155595,1570095,358400,Late Delivery,Cash,Completed
8,RET000008,12419,32933,493,8060,20260825,1,3075600,3075600,0,338316,3413916,2206500,Damaged Product,Bank Transfer,Completed
9,RET000009,21588,57247,576,9438,20230821,2,5012600,10025200,1503780,937356,9458776,4169400,Damaged Product,Cash,Pending
10,RET000010,5775,15433,666,10919,20251001,3,842200,2526600,9999,276826,2793427,526900,Customer Changed Mind,E-Wallet,Completed
11,RET000011,3228,8579,483,7873,20230311,2,167500,335000,0,36850,371850,130600,Customer Changed Mind,Store Credit,Completed
12,RET000012,3228,8581,957,15662,20230311,1,440400,440400,0,48444,488844,315700,Defective Product,Store Credit,Completed
13,RET000013,6196,16544,241,3944,20230922,1,5616100,5616100,0,617771,6233871,4602800,Quality Issue,E-Wallet,Completed
14,RET000014,24057,63869,977,15989,20230613,2,2723800,5447600,0,599236,6046836,2014700,Customer Changed Mind,Cash,Completed
15,RET000015,22561,59814,100,1633,20260627,1,562000,562000,37499,57695,582196,396900,Customer Changed Mind,Store Credit,Completed
16,RET000016,7668,20339,930,15229,20260416,3,919100,2757300,56250,297115,2998165,668600,Wrong Item Sent,Bank Transfer,Completed
17,RET000017,13353,35436,774,12714,20220617,5,372800,1864000,0,205040,2069040,271100,Customer Changed Mind,E-Wallet,Completed
18,RET000018,1626,4272,651,10672,20221023,4,48600,194400,0,0,194400,43400,Customer Changed Mind,Cash,Completed
19,RET000019,1626,4273,320,5214,20221023,1,12005600,12005600,1200560,1188554,11993594,10263400,Defective Product,Cash,Completed
20,RET000020,17127,45358,736,12075,20260119,1,151300,151300,0,0,151300,114100,Customer Changed Mind,E-Wallet,Completed
21,RET000021,17659,46768,92,1499,20230506,3,26900,80700,0,8877,89577,19400,Wrong Item Sent,Bank Transfer,Completed
22,RET000022,17659,46769,321,5225,20230506,1,1652800,1652800,0,181808,1834608,1316600,Damaged Product,Cash,Completed
23,RET000023,17659,46770,300,4866,20230506,1,5164800,5164800,0,568128,5732928,3996300,Defective Product,Store Credit,Completed
24,RET000024,6297,16806,932,15265,20250128,6,500400,3002400,150120,313750,3166030,364600,Customer Changed Mind,E-Wallet,Completed
25,RET000025,14557,38690,169,2791,20240924,1,3420500,3420500,0,376255,3796755,2834100,Defective Product,Bank Transfer,Completed
26,RET000026,16602,43972,14,220,20250415,3,417300,1251900,0,137709,1389609,299000,Damaged Product,Cash,Completed
27,RET000027,24636,65417,13,210,20250707,2,15600,31200,1560,0,29640,11700,Damaged Product,E-Wallet,Completed
28,RET000028,7619,20218,787,12933,20220930,1,157300,157300,0,17303,174603,106300,Wrong Item Sent,E-Wallet,Completed
29,RET000029,21715,57596,584,9571,20250514,2,675400,1350800,66666,141254,1425388,532200,Quality Issue,Voucher,Completed
30,RET000030,14193,37696,400,6501,20251002,1,4166000,4166000,0,458260,4624260,3335900,Customer Changed Mind,Store Credit,Completed
31,RET000031,14193,37698,651,10668,20251002,1,48600,48600,0,0,48600,43400,Damaged Product,Store Credit,Completed
32,RET000032,26299,69700,978,16003,20221217,3,1391100,4173300,0,459063,4632363,954300,Defective Product,E-Wallet,Rejected
33,RET000033,14019,37245,559,9175,20260414,1,646300,646300,0,71093,717393,426200,Defective Product,E-Wallet,Completed
34,RET000034,18256,48403,783,12870,20220726,4,337600,1350400,67520,141116,1423996,262000,Customer Changed Mind,Voucher,Pending
35,RET000035,18256,48404,87,1410,20220726,2,406700,813400,0,89474,902874,310500,Customer Changed Mind,Bank Transfer,Completed
36,RET000036,18256,48405,378,6143,20220726,1,2982900,2982900,0,328119,3311019,2567100,Defective Product,E-Wallet,Completed
37,RET000037,24021,63777,702,11489,20260221,1,195300,195300,2500,21208,214008,137700,Damaged Product,Store Credit,Completed
38,RET000038,24021,63780,471,7663,20260221,1,2021500,2021500,10000,221265,2232765,1559900,Customer Changed Mind,Bank Transfer,Completed
39,RET000039,4673,12427,816,13396,20250425,6,39200,235200,0,25872,261072,32000,Quality Issue,Store Credit,Completed
40,RET000040,5473,14636,399,6485,20240327,1,382400,382400,0,42064,424464,297500,Damaged Product,Bank Transfer,Completed
41,RET000041,8534,22582,565,9277,20260423,3,661700,1985100,0,218361,2203461,490800,Expired Product,Cash,Completed
42,RET000042,8534,22583,731,11991,20260423,2,63800,127600,0,0,127600,54700,Late Delivery,Cash,Completed
43,RET000043,8534,22584,792,13013,20260423,2,206900,413800,0,45518,459318,159200,Damaged Product,E-Wallet,Completed
44,RET000044,8671,22970,173,2856,20220317,1,4137300,4137300,0,455103,4592403,3225600,Expired Product,Bank Transfer,Completed
45,RET000045,29072,76950,827,13574,20260216,5,72700,363500,0,0,363500,64400,Damaged Product,Bank Transfer,Completed
46,RET000046,29072,76951,549,8993,20260216,4,407400,1629600,0,179256,1808856,336300,Customer Changed Mind,E-Wallet,Pending
