sales_key,sales_code,sales_date_key,customer_key,employee_key,store_key,payment_key,promotion_key,sales_status,invoice_number
1,SAL000001,20250825,784,61,6,18,40.0,Completed,INV-202508-000001
2,SAL000002,20240124,258,129,11,6,,Completed,INV-202401-000002
3,SAL000003,20251115,323,47,4,3,36.0,Completed,INV-202511-000003
4,SAL000004,20230513,610,137,12,11,,Completed,INV-202305-000004
5,SAL000005,20250210,291,99,9,10,18.0,Completed,INV-202502-000005
6,SAL000006,20220320,320,101,9,5,,Completed,INV-202203-000006
7,SAL000007,20231217,201,245,21,6,,Completed,INV-202312-000007
8,SAL000008,20250416,378,43,4,4,,Completed,INV-202504-000008
9,SAL000009,20250104,846,284,24,9,5.0,Completed,INV-202501-000009
10,SAL000010,20260414,893,276,23,3,,Pending,INV-202604-000010
11,SAL000011,20251215,582,137,12,14,,Completed,INV-202512-000011
12,SAL000012,20250119,269,241,21,10,,Completed,INV-202501-000012
13,SAL000013,20260413,879,33,3,1,7.0,Completed,INV-202604-000013
14,SAL000014,20250112,689,238,20,14,40.0,Completed,INV-202501-000014
15,SAL000015,20230719,359,268,23,3,,Completed,INV-202307-000015
16,SAL000016,20220727,192,192,16,18,,Completed,INV-202207-000016
17,SAL000017,20230524,390,54,5,4,,Completed,INV-202305-000017
18,SAL000018,20220322,725,201,17,17,,Completed,INV-202203-000018
19,SAL000019,20240324,508,296,25,11,,Completed,INV-202403-000019
20,SAL000020,20230621,371,216,18,5,,Completed,INV-202306-000020
21,SAL000021,20260324,504,232,20,17,,Completed,INV-202603-000021
22,SAL000022,20220326,465,164,14,3,,Completed,INV-202203-000022
23,SAL000023,20251211,528,195,17,8,18.0,Completed,INV-202512-000023
24,SAL000024,20230824,606,203,17,4,,Completed,INV-202308-000024
25,SAL000025,20230805,863,268,23,7,,Completed,INV-202308-000025
26,SAL000026,20220725,479,17,2,9,,Completed,INV-202207-000026
27,SAL000027,20230527,923,19,2,4,,Completed,INV-202305-000027
28,SAL000028,20260728,659,116,10,11,42.0,Completed,INV-202607-000028
29,SAL000029,20250207,841,127,11,3,,Completed,INV-202502-000029
30,SAL000030,20250731,389,20,2,15,,Completed,INV-202507-000030
31,SAL000031,20230823,946,65,6,12,,Completed,INV-202308-000031
32,SAL000032,20260628,282,293,25,16,47.0,Completed,INV-202606-000032
33,SAL000033,20240118,17,21,2,12,,Completed,INV-202401-000033
34,SAL000034,20231216,301,39,4,8,,Completed,INV-202312-000034
35,SAL000035,20230501,918,161,14,5,,Completed,INV-202305-000035
36,SAL000036,20231127,113,119,10,11,,Completed,INV-202311-000036
37,SAL000037,20240920,334,202,17,8,17.0,Completed,INV-202409-000037
38,SAL000038,20240104,789,38,4,7,,Completed,INV-202401-000038
39,SAL000039,20220926,1,287,24,9,,Pending,INV-202209-000039
40,SAL000040,20231112,178,299,25,18,,Completed,INV-202311-000040
41,SAL000041,20240929,132,243,21,18,17.0,Completed,INV-202409-000041
42,SAL000042,20241202,574,214,18,2,,Completed,INV-202412-000042
43,SAL000043,20250801,287,210,18,8,,Completed,INV-202508-000043
44,SAL000044,20240105,712,45,4,16,,Completed,INV-202401-000044
45,SAL000045,20250201,354,98,9,2,26.0,Completed,INV-202502-000045
46,SAL000046,20260115,643,142,12,1,,Completed,INV-202601-000046
47,SAL000047,20220824,515,245,21,7,,Completed,INV-202208-000047
48,SAL000048,20260131,276,154,13,9,,Completed,INV-202601-000048
49,SAL000049,20251116,720,87,8,15,19.0,Completed,INV-202511-000049
50,SAL000050,20220201,256,87,8,5,,Completed,INV-202202-000050
51,SAL000051,20260226,117,164,14,18,,Cancelled,INV-202602-000051
52,SAL000052,20221125,75,262,22,13,,Completed,INV-202211-000052
53,SAL000053,20250613,530,108,9,12,,Completed,INV-202506-000053
54,SAL000054,20240702,853,103,9,4,,Completed,INV-202407-000054
55,SAL000055,20250227,470,204,17,10,17.0,Completed,INV-202502-000055
56,SAL000056,20250309,190,39,4,6,27.0,Completed,INV-202503-000056
57,SAL000057,20251107,903,170,15,15,,Completed,INV-202511-000057
58,SAL000058,20251218,707,29,3,12,,Completed,INV-202512-000058
59,SAL000059,20260211,473,274,23,8,,Completed,INV-202602-000059
60,SAL000060,20220701,119,239,20,11,,Completed,INV-202207-000060
61,SAL000061,20230408,787,105,9,1,,Completed,INV-202304-000061
62,SAL000062,20260725,252,98,9,3,,Completed,INV-202607-000062
63,SAL000063,20241217,336,30,3,17,,Completed,INV-202412-000063
64,SAL000064,20230910,996,136,12,16,,Completed,INV-202309-000064
65,SAL000065,20241018,49,136,12,18,36.0,Completed,INV-202410-000065
66,SAL000066,20220703,284,291,25,6,,Completed,INV-202207-000066
67,SAL000067,20250822,217,224,19,10,40.0,Completed,INV-202508-000067
68,SAL000068,20231002,149,164,14,8,,Completed,INV-202310-000068
69,SAL000069,20240509,743,92,8,5,,Completed,INV-202405-000069
70,SAL000070,20221026,981,206,18,18,,Completed,INV-202210-000070
71,SAL000071,20230301,740,216,18,9,,Completed,INV-202303-000071
72,SAL000072,20251102,265,53,5,8,,Completed,INV-202511-000072
73,SAL000073,20240130,17,285,24,7,,Completed,INV-202401-000073
74,SAL000074,20240223,323,288,24,18,,Completed,INV-202402-000074
75,SAL000075,20250129,233,33,3,18,,Completed,INV-202501-000075
76,SAL000076,20230528,830,250,21,18,,Completed,INV-202305-000076
77,SAL000077,20240717,430,253,22,9,,Completed,INV-202407-000077
78,SAL000078,20240220,853,136,12,11,,Completed,INV-202402-000078
79,SAL000079,20230812,333,116,10,3,,Completed,INV-202308-000079
80,SAL000080,20250130,708,227,19,5,,Completed,INV-202501-000080
81,SAL000081,20241012,597,32,3,12,27.0,Completed,INV-202410-000081
82,SAL000082,20251130,1,89,8,15,39.0,Completed,INV-202511-000082
83,SAL000083,20230602,842,274,23,16,,Completed,INV-202306-000083
84,SAL000084,20230813,306,160,14,10,,Completed,INV-202308-000084
85,SAL000085,20250913,541,271,23,16,,Completed,INV-202509-000085
86,SAL000086,20241208,138,212,18,4,,Completed,INV-202412-000086
87,SAL000087,20220924,159,242,21,15,,Completed,INV-202209-000087
88,SAL000088,20250126,140,132,11,9,34.0,Completed,INV-202501-000088
89,SAL000089,20260727,649,216,18,3,47.0,Completed,INV-202607-000089
90,SAL000090,20260716,848,280,24,2,,Completed,INV-202607-000090
91,SAL000091,20240930,215,192,16,18,,Completed,INV-202409-000091
92,SAL000092,20250221,166,219,19,14,,Completed,INV-202502-000092
93,SAL000093,20220713,438,100,9,13,,Completed,INV-202207-000093
94,SAL000094,20230823,208,59,5,7,,Completed,INV-202308-000094
95,SAL000095,20240906,347,222,19,2,17.0,Completed,INV-202409-000095
96,SAL000096,20240613,47,290,25,10,,Completed,INV-202406-000096
97,SAL000097,20260321,274,164,14,15,8.0,Completed,INV-202603-000097
98,SAL000098,20230920,441,285,24,7,,Completed,INV-202309-000098
99,SAL000099,20260328,69,255,22,17,,Completed,INV-202603-000099
100,SAL000100,20220616,895,125,11,5,,Completed,INV-202206-000100
101,SAL000101,20260330,767,41,4,15,13.0,Completed,INV-202603-000101
102,SAL000102,20240406,38,168,14,15,,Completed,INV-202404-000102
103,SAL000103,20260518,292,232,20,17,,Completed,INV-202605-000103
104,SAL000104,20240905,225,267,23,5,,Completed,INV-202409-000104
105,SAL000105,20250920,768,196,17,2,25.0,Completed,INV-202509-000105
106,SAL000106,20230425,454,177,15,13,,Completed,INV-202304-000106
107,SAL000107,20230313,398,91,8,7,,Completed,INV-202303-000107
108,SAL000108,20250224,568,163,14,18,,Pending,INV-202502-000108
109,SAL000109,20251005,946,27,3,18,39.0,Completed,INV-202510-000109
110,SAL000110,20221118,504,248,21,4,,Completed,INV-202211-000110
111,SAL000111,20250707,671,208,18,16,,Completed,INV-202507-000111
112,SAL000112,20230426,303,167,14,7,,Completed,INV-202304-000112
113,SAL000113,20221012,117,254,22,1,,Completed,INV-202210-000113
114,SAL000114,20260508,154,115,10,1,42.0,Completed,INV-202605-000114
115,SAL000115,20240128,335,18,2,4,,Completed,INV-202401-000115
116,SAL000116,20220125,401,69,6,13,,Completed,INV-202201-000116
117,SAL000117,20230804,827,284,24,7,,Completed,INV-202308-000117
118,SAL000118,20230812,192,176,15,12,,Completed,INV-202308-000118
119,SAL000119,20241128,477,142,12,12,,Completed,INV-202411-000119
120,SAL000120,20251005,8,224,19,8,,Completed,INV-202510-000120
121,SAL000121,20220127,857,42,4,3,,Completed,INV-202201-000121
122,SAL000122,20260328,850,62,6,16,,Completed,INV-202603-000122
123,SAL000123,20240504,546,123,11,18,,Completed,INV-202405-000123
124,SAL000124,20260314,77,121,11,16,,Completed,INV-202603-000124
125,SAL000125,20221227,212,135,12,5,,Completed,INV-202212-000125
126,SAL000126,20240829,350,170,15,8,,Completed,INV-202408-000126
127,SAL000127,20241114,857,123,11,11,,Cancelled,INV-202411-000127
128,SAL000128,20230421,121,297,25,3,,Completed,INV-202304-000128
129,SAL000129,20231222,127,44,4,13,,Completed,INV-202312-000129
130,SAL000130,20230330,886,39,4,3,,Completed,INV-202303-000130
131,SAL000131,20220107,541,133,12,18,,Completed,INV-202201-000131
132,SAL000132,20240219,652,160,14,10,,Completed,INV-202402-000132
133,SAL000133,20230427,368,281,24,12,,Completed,INV-202304-000133
134,SAL000134,20250324,252,45,4,1,,Completed,INV-202503-000134
135,SAL000135,20231205,676,269,23,10,,Completed,INV-202312-000135
136,SAL000136,20221124,724,209,18,13,,Completed,INV-202211-000136
137,SAL000137,20241109,876,195,17,16,27.0,Completed,INV-202411-000137
138,SAL000138,20220613,716,206,18,11,,Completed,INV-202206-000138
139,SAL000139,20241224,371,125,11,5,,Completed,INV-202412-000139
140,SAL000140,20231028,499,224,19,17,,Completed,INV-202310-000140
141,SAL000141,20251005,413,128,11,7,,Completed,INV-202510-000141
142,SAL000142,20240617,9,64,6,16,,Completed,INV-202406-000142
143,SAL000143,20220920,430,113,10,4,,Completed,INV-202209-000143
144,SAL000144,20260401,455,227,19,13,33.0,Completed,INV-202604-000144
145,SAL000145,20241220,15,239,20,10,,Completed,INV-202412-000145
146,SAL000146,20251214,756,90,8,7,,Completed,INV-202512-000146
147,SAL000147,20250109,895,177,15,12,,Completed,INV-202501-000147
148,SAL000148,20220217,91,35,3,11,,Completed,INV-202202-000148
149,SAL000149,20260304,827,193,17,18,,Completed,INV-202603-000149
150,SAL000150,20231207,778,207,18,8,,Completed,INV-202312-000150
151,SAL000151,20220706,138,139,12,11,,Completed,INV-202207-000151
152,SAL000152,20220124,102,109,10,17,,Completed,INV-202201-000152
153,SAL000153,20220309,822,260,22,12,,Completed,INV-202203-000153
154,SAL000154,20220309,447,163,14,15,,Completed,INV-202203-000154
155,SAL000155,20220622,317,40,4,11,,Completed,INV-202206-000155
156,SAL000156,20220912,635,254,22,6,,Completed,INV-202209-000156
157,SAL000157,20241011,60,248,21,13,,Pending,INV-202410-000157
158,SAL000158,20220801,402,162,14,8,,Completed,INV-202208-000158
159,SAL000159,20230402,391,142,12,12,,Completed,INV-202304-000159
160,SAL000160,20220830,660,119,10,14,,Completed,INV-202208-000160
161,SAL000161,20230824,534,146,13,12,,Completed,INV-202308-000161
162,SAL000162,20240728,567,221,19,2,,Completed,INV-202407-000162
163,SAL000163,20230725,6,244,21,10,,Completed,INV-202307-000163
164,SAL000164,20220727,965,209,18,2,,Completed,INV-202207-000164
165,SAL000165,20230918,748,192,16,9,,Completed,INV-202309-000165
166,SAL000166,20251004,608,292,25,2,30.0,Completed,INV-202510-000166
