stock_key,stock_code,product_key,store_key,stock_date_key,total_stock,available_stock,damaged_stock,reorder_point,reorder_quantity,stock_status,last_stock_opname
1,STK000001,1,1,20260213,202,52,0,20,40,Normal,2026-02-24
2,STK000002,1,3,20220614,144,49,0,20,40,Normal,2022-06-24
3,STK000003,1,4,20220326,176,23,0,20,40,Normal,2022-04-14
4,STK000004,1,5,20260606,205,172,3,20,40,Overstock,2026-06-17
5,STK000005,1,7,20230608,41,27,0,20,40,Normal,2023-07-02
6,STK000006,1,8,20241217,23,5,0,20,40,Low Stock,2025-01-14
7,STK000007,1,10,20251026,213,64,0,20,40,Normal,2025-11-09
8,STK000008,1,12,20251203,241,165,12,20,40,Overstock,2025-12-21
9,STK000009,1,14,20260722,170,98,0,20,40,Overstock,2026-07-29
10,STK000010,1,15,20250704,188,28,0,20,40,Normal,2025-07-11
11,STK000011,1,17,20261019,294,9,11,20,40,Low Stock,2026-11-06
12,STK000012,1,18,20260204,125,5,0,20,40,Low Stock,2026-02-21
13,STK000013,1,19,20260914,412,24,0,20,40,Normal,2026-10-05
14,STK000014,1,21,20240102,198,186,0,20,40,Overstock,2024-01-27
15,STK000015,1,22,20260908,195,35,0,20,40,Normal,2026-09-17
16,STK000016,1,23,20230829,275,78,2,20,40,Normal,2023-09-13
17,STK000017,1,24,20260910,281,95,0,20,40,Overstock,2026-09-27
18,STK000018,2,1,20240919,98,81,0,10,20,Overstock,2024-10-13
19,STK000019,2,2,20240412,11,4,0,10,20,Low Stock,2024-05-05
20,STK000020,2,3,20221225,19,2,0,10,20,Low Stock,2023-01-08
21,STK000021,2,4,20260327,57,33,0,10,20,Normal,2026-04-07
22,STK000022,2,5,20250308,86,4,0,10,20,Low Stock,2025-03-16
23,STK000023,2,6,20220407,14,14,0,10,20,Normal,2022-04-19
24,STK000024,2,7,20260101,166,148,0,10,20,Overstock,2026-01-19
25,STK000025,2,8,20260429,151,23,0,10,20,Normal,2026-05-20
26,STK000026,2,10,20260814,210,20,0,10,20,Normal,2026-09-13
27,STK000027,2,12,20261119,103,27,0,10,20,Normal,2026-12-02
28,STK000028,2,13,20260329,69,44,0,10,20,Overstock,2026-04-26
29,STK000029,2,15,20260829,64,57,0,10,20,Overstock,2026-09-11
30,STK000030,2,16,20260712,16,14,0,10,20,Normal,2026-07-24
31,STK000031,2,18,20240331,11,4,0,10,20,Low Stock,2024-04-17
32,STK000032,2,19,20250311,144,135,0,10,20,Overstock,2025-03-26
33,STK000033,2,20,20220226,42,4,0,10,20,Low Stock,2022-03-27
34,STK000034,2,21,20241116,61,46,0,10,20,Overstock,2024-11-29
35,STK000035,2,23,20231118,61,37,0,10,20,Normal,2023-12-07
36,STK000036,2,24,20261112,235,67,0,10,20,Overstock,2026-11-20
37,STK000037,2,25,20240809,64,47,0,10,20,Overstock,2024-09-06
38,STK000038,3,1,20230519,180,38,0,40,80,Low Stock,2023-06-14
